task,null_mass,null_positive,deadlock
contradiction,0.9999999999999999,1,1
arithmetic,0.027326861359205465,1,0
syllogism,0.0028843012557109643,1,0
arithmetic,0.006994510951310106,1,0
syllogism,0.0012642172531876095,1,0
syllogism,0.002921783588529878,1,0
arithmetic,0.06391025823710324,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.012624602118748062,1,0
syllogism,0.0033316817192227924,1,0
arithmetic,0.1678867141553348,1,0
syllogism,0.0018202185336881323,1,0
syllogism,0.01124110464841416,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.13593015202039405,1,0
arithmetic,0.007315115335988754,1,0
arithmetic,0.19159718111412025,1,0
arithmetic,0.04506546838783502,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.02254071844832006,1,0
syllogism,0.008791000201883614,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.002082885913468339,1,0
syllogism,0.00256261831695158,1,0
contradiction,1.0,1,1
contradiction,1.0,1,1
arithmetic,0.0226938594438132,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999998,1,1
arithmetic,0.014282701647554541,1,0
syllogism,0.002905026768845882,1,0
syllogism,0.010113588076775225,1,0
arithmetic,0.07238424093268873,1,0
syllogism,0.0014134414127299955,1,0
syllogism,0.0010496572967900446,1,0
syllogism,0.0024291497959176246,1,0
arithmetic,0.04796099213748671,1,0
arithmetic,0.030601982317821966,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.03553708075662375,1,0
contradiction,1.0,1,1
arithmetic,0.030049977775397526,1,0
contradiction,1.0,1,1
syllogism,0.0024019563090500943,1,0
contradiction,0.9999999999999998,1,1
arithmetic,0.016585144958626504,1,0
arithmetic,0.006842557998543122,1,0
syllogism,0.0017957666129071825,1,0
syllogism,0.0028847581426162485,1,0
arithmetic,0.11785246676507623,1,0
arithmetic,0.011353635866867183,1,0
syllogism,0.0013176326735085955,1,0
contradiction,1.0,1,1
syllogism,0.003985045739192867,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0000000000000002,1,1
arithmetic,0.024723496540389436,1,0
arithmetic,0.07450462188179031,1,0
arithmetic,0.03222704574312734,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.002414743626991052,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.001415966707347162,1,0
syllogism,0.005510823959509457,1,0
syllogism,0.001092613330181409,1,0
syllogism,0.0018352635779684597,1,0
syllogism,0.006851012192935914,1,0
contradiction,1.0,1,1
syllogism,0.0014447456398942403,1,0
syllogism,0.0014447726345465158,1,0
arithmetic,0.040735957954695215,1,0
arithmetic,0.15846845779269914,1,0
arithmetic,0.03137394269687295,1,0
syllogism,0.00192254560206586,1,0
arithmetic,0.013863655609677516,1,0
arithmetic,0.04525795613742141,1,0
syllogism,0.002530318363924091,1,0
arithmetic,0.0072151907457510996,1,0
syllogism,0.0016298694958926474,1,0
syllogism,0.0018524034145528138,1,0
contradiction,1.0,1,1
arithmetic,0.021693566611219284,1,0
arithmetic,0.014036238404480417,1,0
syllogism,0.007390459466518276,1,0
arithmetic,0.09342166522043596,1,0
syllogism,0.0010610196574626107,1,0
arithmetic,0.03251147346260432,1,0
syllogism,0.0017945118195967485,1,0
syllogism,0.0014134533907691265,1,0
arithmetic,0.3066311485053558,1,0
contradiction,1.0000000000000002,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.002923993807924621,1,0
syllogism,0.0010926288659722579,1,0
contradiction,1.0,1,1
syllogism,0.0009574792913228586,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.005074492594083458,1,0
arithmetic,0.017914483835934386,1,0
arithmetic,0.0754545514387752,1,0
arithmetic,0.03456425968089613,1,0
syllogism,0.004166665016536284,1,0
syllogism,0.002596636366017495,1,0
syllogism,0.0010496235709021048,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.022840962219091515,1,0
contradiction,0.9999999999999998,1,1
arithmetic,0.04750458504111661,1,0
arithmetic,0.038640205062474474,1,0
arithmetic,0.035755325108939154,1,0
arithmetic,0.030740687117813543,1,0
syllogism,0.00106167491100054,1,0
syllogism,0.0029058989424775054,1,0
syllogism,0.0007359129717171975,1,0
syllogism,0.012624434745351465,1,0
syllogism,0.0007356260283651913,1,0
arithmetic,0.10085926291010547,1,0
syllogism,0.001443834996355072,1,0
syllogism,0.001148985243722305,1,0
syllogism,0.0011135887502097363,1,0
contradiction,1.0,1,1
arithmetic,0.05454231636874474,1,0
syllogism,0.0016562284627073649,1,0
syllogism,0.0023707385069913858,1,0
contradiction,1.0,1,1
arithmetic,0.0982761272331201,1,0
syllogism,0.0020829876760032227,1,0
arithmetic,0.05195515510248727,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.03495526280891902,1,0
syllogism,0.0029187126837708463,1,0
arithmetic,0.018304178005183018,1,0
arithmetic,0.02702187995222175,1,0
contradiction,1.0,1,1
arithmetic,0.1414223265944256,1,0
contradiction,1.0000000000000002,1,1
arithmetic,0.014591536411157527,1,0
arithmetic,0.0312111625840451,1,0
arithmetic,0.060423397395168624,1,0
contradiction,0.9999999999999997,1,1
arithmetic,0.19784889426240987,1,0
contradiction,1.0,1,1
contradiction,1.0,1,1
syllogism,0.0018202516054028758,1,0
arithmetic,0.030172595611722093,1,0
contradiction,0.9999999999999998,1,1
contradiction,1.0,1,1
arithmetic,0.06452144483167634,1,0
syllogism,0.003969936269237135,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
arithmetic,0.04283272488592786,1,0
arithmetic,0.029250108563134675,1,0
arithmetic,0.08845104729235372,1,0
syllogism,0.0011363353611667962,1,0
contradiction,1.0,1,1
syllogism,0.0021659450841139943,1,0
syllogism,0.001418231355977061,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.1156496691544427,1,0
arithmetic,0.07846247511364943,1,0
syllogism,0.0031168589255223082,1,0
arithmetic,0.14762844151433532,1,0
arithmetic,0.008431541256168108,1,0
arithmetic,0.36007595725645475,1,0
arithmetic,0.03327676157459548,1,0
arithmetic,0.07823718256560218,1,0
arithmetic,0.016524449508934873,1,0
syllogism,0.0017945118112270642,1,0
arithmetic,0.036826714024988015,1,0
arithmetic,0.12654564305150848,1,0
syllogism,0.001411923238336605,1,0
contradiction,0.9999999999999998,1,1
contradiction,1.0,1,1
contradiction,1.0,1,1
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.001794512027668489,1,0
arithmetic,0.02785532648284392,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.023459794987112818,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.002667763757878351,1,0
arithmetic,0.043276060245457035,1,0
arithmetic,0.03850693716615814,1,0
contradiction,1.0,1,1
arithmetic,0.05408680350268691,1,0
syllogism,0.002091091651940593,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0012616944837366799,1,0
syllogism,0.0012616696058299365,1,0
arithmetic,0.48773731481881266,1,0
syllogism,0.012624438401294614,1,0
arithmetic,0.04969186230876152,1,0
arithmetic,0.13853318624820768,1,0
arithmetic,0.2841312474592126,1,0
arithmetic,0.04671950127261823,1,0
syllogism,0.002905943770948527,1,0
syllogism,0.004191459949198988,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.034172298292504295,1,0
syllogism,0.0016929506701905646,1,0
syllogism,0.0019620513681520646,1,0
contradiction,1.0,1,1
arithmetic,0.03415366601773384,1,0
contradiction,0.9999999999999998,1,1
arithmetic,0.11839078896982502,1,0
contradiction,1.0,1,1
syllogism,0.0013915667542709017,1,0
syllogism,0.0016707801813318325,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.001629917689171019,1,0
syllogism,0.0033316676518184724,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.001863532083058639,1,0
arithmetic,0.025102426417980595,1,0
syllogism,0.01124110909077351,1,0
syllogism,0.0013915495444511829,1,0
contradiction,1.0000000000000002,1,1
syllogism,0.0007263328011316829,1,0
arithmetic,0.03150402674719933,1,0
syllogism,0.0014160122832491556,1,0
contradiction,0.9999999999999998,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0030752538780686772,1,0
syllogism,0.0025303184063926853,1,0
syllogism,0.002562616997459128,1,0
arithmetic,0.052999057642986604,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.004971446902301352,1,0
syllogism,0.0007793434617639573,1,0
arithmetic,0.022671905146371824,1,0
arithmetic,0.08156205836056349,1,0
syllogism,0.0026374220069365264,1,0
arithmetic,0.12761763726548042,1,0
arithmetic,0.0179144836185067,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.17608177533621838,1,0
arithmetic,0.18207044688739546,1,0
arithmetic,0.0978596762755662,1,0
syllogism,0.0018202521411165122,1,0
arithmetic,0.01678196742804062,1,0
arithmetic,0.050600267873341466,1,0
arithmetic,0.03589384614652652,1,0
syllogism,0.004991399202513913,1,0
syllogism,0.0007890250094515327,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.001768641090829377,1,0
arithmetic,0.014087787951919332,1,0
syllogism,0.007390459466518276,1,0
arithmetic,0.015518005445413296,1,0
arithmetic,0.055724901813601964,1,0
arithmetic,0.057054489545574065,1,0
syllogism,0.007384795152389152,1,0
syllogism,0.0010932704368849997,1,0
syllogism,0.0030752534489126497,1,0
syllogism,0.008770578084058199,1,0
contradiction,1.0,1,1
arithmetic,0.38483775215909505,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
syllogism,0.0018513750793955224,1,0
arithmetic,0.29643731041118887,1,0
arithmetic,0.03043804812295029,1,0
arithmetic,0.061638431446125526,1,0
syllogism,0.0037589985106032168,1,0
syllogism,0.008770578462756225,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0039380837284018165,1,0
contradiction,1.0,1,1
syllogism,0.0015570204992636913,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
contradiction,1.0000000000000002,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.19106071082715503,1,0
syllogism,0.004490762734153177,1,0
arithmetic,0.0825702113840325,1,0
arithmetic,0.057149790176004384,1,0
syllogism,0.011255477406927575,1,0
syllogism,0.0007356425452932708,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0014904280064478976,1,0
syllogism,0.001093270551599652,1,0
arithmetic,0.025137710404163613,1,0
contradiction,1.0,1,1
arithmetic,0.022481237208604864,1,0
contradiction,1.0,1,1
syllogism,0.0014525852963819422,1,0
contradiction,1.0,1,1
arithmetic,0.041928406561207936,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.006680794406871808,1,0
arithmetic,0.19931670075279453,1,0
arithmetic,0.006357337678973348,1,0
arithmetic,0.028389735426791907,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0007511982597004894,1,0
syllogism,0.0012092521521872071,1,0
arithmetic,0.08541556146067958,1,0
syllogism,0.0029058986934685067,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.0013747903732863958,1,0
arithmetic,0.015561423349025565,1,0
syllogism,0.0017682525789718343,1,0
arithmetic,0.04438310525196169,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.01880125553069055,1,0
syllogism,0.011255478441669298,1,0
syllogism,0.010650827126353313,1,0
contradiction,1.0,1,1
syllogism,0.001783561130187009,1,0
syllogism,0.011241073401460794,1,0
syllogism,0.0019620549676848107,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.042788303117933836,1,0
arithmetic,0.017635931092967388,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.3347590443741022,1,0
arithmetic,0.062005140177040924,1,0
syllogism,0.0073322376745291375,1,0
arithmetic,0.034955792854507194,1,0
contradiction,0.9999999999999998,1,1
arithmetic,0.009293751025542325,1,0
arithmetic,0.02337527453609957,1,0
contradiction,1.0,1,1
syllogism,0.001061674901493869,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.022933025638493195,1,0
contradiction,1.0,1,1
syllogism,0.003148244869016124,1,0
arithmetic,0.3096347539794451,1,0
syllogism,0.002921711310752927,1,0
arithmetic,0.06961302301189437,1,0
contradiction,0.9999999999999998,1,1
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.06281476235595432,1,0
arithmetic,0.13457399833508085,1,0
arithmetic,0.17488141973649388,1,0
arithmetic,0.20883479076683595,1,0
arithmetic,0.13274933031785452,1,0
arithmetic,0.14671057271027138,1,0
contradiction,1.0,1,1
syllogism,0.0014119232343665397,1,0
arithmetic,0.06370226137683493,1,0
syllogism,0.00333168199537709,1,0
contradiction,1.0,1,1
arithmetic,0.043737087884683105,1,0
syllogism,0.0010932851193141925,1,0
syllogism,0.005510772431047825,1,0
syllogism,0.0032045831559781974,1,0
arithmetic,0.030853130734467923,1,0
arithmetic,0.10722786628280462,1,0
syllogism,0.001209560106851257,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.028389735519754555,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.0014890507809191811,1,0
arithmetic,0.03096746168259065,1,0
arithmetic,0.09901312903482408,1,0
syllogism,0.0030034364247235015,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0031168814233854722,1,0
syllogism,0.0014103140453172543,1,0
syllogism,0.004123395257274797,1,0
syllogism,0.0033080779029171768,1,0
arithmetic,0.03320108502167884,1,0
syllogism,0.0016294122025858526,1,0
arithmetic,0.5753469305752523,1,0
arithmetic,0.07384815347134577,1,0
arithmetic,0.2182450169446436,1,0
syllogism,0.003938083409556013,1,0
syllogism,0.0015097144620226251,1,0
arithmetic,0.022753986327484755,1,0
contradiction,1.0,1,1
syllogism,0.0029239982062450043,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.018829187133030494,1,0
syllogism,0.0014161971666884396,1,0
arithmetic,0.1225212317106568,1,0
syllogism,0.00371531443029405,1,0
syllogism,0.003717817078794856,1,0
contradiction,1.0,1,1
syllogism,0.0023340693904869373,1,0
arithmetic,0.03507080948499808,1,0
syllogism,0.0007359129717171975,1,0
arithmetic,0.02458432692051558,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0030752164150477943,1,0
arithmetic,0.043523893818025995,1,0
arithmetic,0.04393645865061712,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.002475497105191636,1,0
syllogism,0.00377558018669646,1,0
syllogism,0.0018524064052058437,1,0
syllogism,0.0014891534548140308,1,0
arithmetic,0.044350892760418655,1,0
syllogism,0.005075844667630546,1,0
arithmetic,0.043587328227099716,1,0
arithmetic,0.11595642772554192,1,0
syllogism,0.0014103140453172543,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.047765773044191565,1,0
arithmetic,0.20246777671743216,1,0
syllogism,0.004095217918947805,1,0
contradiction,0.9999999999999999,1,1
arithmetic,0.03241262785279217,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999998,1,1
syllogism,0.011255513095200476,1,0
arithmetic,0.03521884015799345,1,0
syllogism,0.0014891209768247648,1,0
contradiction,1.0,1,1
syllogism,0.0011362327012030278,1,0
syllogism,0.0008040513080697063,1,0
syllogism,0.0009676927277310428,1,0
arithmetic,0.49547249495917406,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.00507589342171628,1,0
arithmetic,0.1001583254107553,1,0
syllogism,0.0061795825299143054,1,0
syllogism,0.0010616750684132614,1,0
syllogism,0.006179592945669834,1,0
syllogism,0.0018202190607573127,1,0
contradiction,0.9999999999999999,1,1
contradiction,1.0000000000000002,1,1
contradiction,1.0000000000000002,1,1
contradiction,1.0,1,1
syllogism,0.001783265452077252,1,0
arithmetic,0.05674553783366159,1,0
syllogism,0.0011363354681363483,1,0
arithmetic,0.005310977564871002,1,0
arithmetic,0.04313450016592525,1,0
arithmetic,0.03584256028564461,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.004991448713842206,1,0
arithmetic,0.016126204606009952,1,0
syllogism,0.0017683072272577996,1,0
arithmetic,0.2206890401576155,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0016294604381132496,1,0
arithmetic,0.1743795439911086,1,0
arithmetic,0.00900524372660456,1,0
syllogism,0.0018202185336881323,1,0
syllogism,0.001710036391239743,1,0
arithmetic,0.030279973130743022,1,0
syllogism,0.0019225603207220561,1,0
syllogism,0.011875954616103364,1,0
syllogism,0.002429990142013205,1,0
syllogism,0.004095086714579102,1,0
arithmetic,0.029490284525366485,1,0
arithmetic,0.07384815513557652,1,0
syllogism,0.0013915494029699757,1,0
arithmetic,0.0462879225028896,1,0
arithmetic,0.020022620232597838,1,0
contradiction,0.9999999999999998,1,1
syllogism,0.003069693938579412,1,0
arithmetic,0.01937777438782619,1,0
arithmetic,0.11739824650092245,1,0
syllogism,0.0010546153484386276,1,0
contradiction,1.0000000000000002,1,1
contradiction,0.9999999999999999,1,1
arithmetic,0.07638551111155675,1,0
syllogism,0.005111186526062833,1,0
syllogism,0.004166485648262032,1,0
contradiction,1.0,1,1
syllogism,0.0032045794997661147,1,0
arithmetic,0.013429155582996904,1,0
arithmetic,0.09689876343562902,1,0
arithmetic,0.04812237499383261,1,0
contradiction,0.9999999999999999,1,1
contradiction,0.9999999999999999,1,1
contradiction,1.0,1,1
syllogism,0.0026671862943623047,1,0
syllogism,0.000701505877949242,1,0
arithmetic,0.01961082417068084,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0032933071616611334,1,0
contradiction,1.0,1,1
contradiction,1.0,1,1
syllogism,0.0013760347047558133,1,0
contradiction,0.9999999999999999,1,1
syllogism,0.0026374386955846643,1,0
contradiction,1.0,1,1
syllogism,0.0013333454837895892,1,0
arithmetic,0.05081039506141998,1,0
contradiction,1.0,1,1
contradiction,0.9999999999999999,1,1
syllogism,0.0013179601772293733,1,0
